TIMESTAMP,MUX0,MUX1,MUX2,MUX3,MUX4,MUX5,MUX6,MUX7
1572784019,758,796,785,789,13,13,13,13
1572784020,758,797,788,790,14,15,15,15
1572784021,754,793,792,789,14,14,15,14
1572784022,758,788,786,789,14,14,12,12
1572784023,756,788,789,787,12,12,13,13
1572784024,754,797,790,788,14,15,14,15
1572784025,764,793,790,788,15,14,14,12
1572784027,753,797,792,790,15,14,15,14
1572784028,754,797,786,787,14,14,14,13
1572784029,758,798,788,788,14,15,15,14
1572784030,751,788,789,789,15,14,14,14
1572784031,757,796,785,787,12,13,13,13
1572784032,754,792,789,788,13,14,14,14
1572784033,758,796,789,788,14,14,15,15
1572784034,760,797,790,787,15,14,13,13
1572784035,756,789,790,788,12,12,13,14
1572784036,760,796,790,787,14,14,14,14
1572784037,758,790,792,786,15,14,14,14
1572784038,752,797,785,788,14,15,14,15
1572784040,763,797,789,789,14,12,13,12
1572784043,753,798,788,789,14,14,14,14
1572784052,753,792,790,788,13,13,12,13
1572784054,757,792,792,788,14,14,12,13
1572784055,764,795,787,787,12,13,12,13
1572784056,761,786,785,790,13,13,13,13
1572784057,763,793,784,788,13,12,12,13
1572784058,753,797,789,787,13,13,13,12
1572784059,756,796,789,789,15,13,14,14
1572784060,753,788,789,788,15,14,14,13
1572784061,759,788,786,790,12,13,13,14
1572784062,756,795,786,786,13,13,14,14
1572784063,760,798,794,786,14,14,12,13
1572784064,753,798,787,787,13,13,12,13
1572784065,759,797,787,788,13,13,13,13
1572784067,758,787,786,787,14,14,14,15
1572784068,763,801,787,789,15,14,14,14
1572784069,758,793,790,789,14,12,13,12
1572784070,762,799,787,786,14,15,15,16
1572784071,769,799,787,788,15,14,13,13
1572784072,759,797,793,788,14,15,14,14
1572784073,751,795,792,789,12,14,14,14
1572784074,765,799,795,789,15,14,14,13
1572784075,753,787,787,788,14,14,12,13
1572784076,763,788,790,788,13,13,13,14
1572784077,756,794,788,786,14,14,15,14
1572784078,756,790,787,787,15,12,13,12
1572784079,761,797,789,788,13,12,12,13
1572784081,758,792,790,789,15,14,13,13
1572784082,753,788,785,787,13,13,14,14
1572784083,761,794,788,786,14,12,12,13
1572784084,762,789,789,789,12,14,13,14
1572784085,762,792,790,788,16,14,14,14
1572784086,759,790,793,788,13,14,14,14
1572784087,766,794,793,789,13,12,14,14
1572784088,757,797,790,787,15,14,15,14
1572784089,761,787,788,789,14,13,13,12
1572784090,764,788,790,787,14,13,12,12
1572784091,752,796,789,787,14,14,14,15
1572784092,753,797,785,788,13,13,12,13
1572784094,761,787,786,788,12,13,13,14
1572784095,753,793,790,788,14,14,14,14
1572784096,754,787,789,788,14,13,13,13
1572784097,752,790,794,785,15,13,13,12
1572784098,765,796,785,788,13,14,14,14
1572784099,761,794,788,789,15,15,14,14
1572784100,753,789,785,787,13,13,12,13
1572784101,762,788,790,788,14,14,14,14
1572784102,760,788,788,787,14,14,15,15
1572784103,753,788,787,787,15,13,12,12
1572784104,751,789,790,787,13,13,13,14
1572784105,754,787,792,789,14,14,14,14
1572784106,762,789,788,788,14,14,12,12
1572784108,759,796,787,786,12,12,13,14
1572784109,763,788,786,789,12,13,13,14
1572784110,756,796,787,788,13,14,14,14
1572784111,751,796,792,788,13,13,15,15
1572784112,754,794,789,788,13,12,13,13
1572784113,762,793,789,788,14,14,14,15
1572784114,759,788,788,789,14,14,14,14
1572784115,762,790,787,790,15,15,15,14
1572784116,754,790,786,786,13,12,13,13
1572784117,757,794,787,790,14,14,15,15
1572784118,753,789,785,790,12,15,15,15
1572784119,760,796,788,790,15,14,15,14
1572784121,758,790,787,788,15,15,14,14
1572784122,762,789,786,788,14,14,14,14
1572784123,760,796,784,788,14,14,14,13
1572784124,761,797,790,787,13,13,14,14
1572784125,760,788,792,788,13,13,13,14
1572784126,758,792,789,787,12,13,13,14
1572784127,757,789,785,788,15,14,14,14
1572784128,762,790,786,789,13,13,13,15
1572784129,757,793,786,787,15,14,14,14
1572784130,757,795,792,785,14,12,12,13
1572784131,757,797,787,788,14,13,13,12
1572784132,752,795,789,787,12,13,13,14
1572784133,754,796,790,788,14,14,15,14
1572784135,756,796,792,789,14,13,13,13
1572784136,751,796,792,787,13,13,13,14
1572784137,757,797,788,790,13,12,12,14
1572784138,762,788,785,788,13,13,13,14
1572784139,757,795,786,789,15,15,15,14
1572784140,763,795,786,789,13,13,12,13
1572784141,751,796,789,789,15,14,14,14
1572784142,759,788,786,790,15,14,14,14
1572784143,762,790,787,788,16,14,14,14
1572784144,752,788,787,788,12,13,13,14
1572784145,760,790,785,788,13,13,13,14
1572784146,756,796,790,787,13,13,12,13
1572784147,763,794,790,790,15,13,12,12
1572784149,761,794,787,788,15,14,15,15
1572784150,756,789,789,790,13,12,12,13
1572784151,754,795,785,788,14,13,13,13
1572784152,763,801,785,788,15,14,12,12
1572784153,757,789,789,787,13,13,13,13
1572784154,762,794,790,787,13,13,14,14
1572784155,760,796,788,789,14,13,12,12
1572784156,760,795,790,789,13,14,14,15
1572784157,753,797,792,787,15,13,13,12
1572784158,757,795,790,790,12,14,14,14
1572784159,756,793,793,790,15,14,15,14
1572784160,752,793,790,787,15,14,14,13
1572784162,761,793,788,789,14,14,13,13
1572784163,752,787,789,788,13,12,12,13
1572784164,754,790,787,788,12,13,13,14
1572784165,756,790,786,789,15,14,15,14
1572784166,754,790,788,788,13,13,14,14
1572784167,759,792,786,788,13,13,14,14
1572784168,752,793,792,788,13,12,13,13
1572784169,759,793,790,787,15,14,14,13
1572784170,753,797,790,788,14,14,13,12
1572784171,758,789,790,788,13,13,13,14
1572784172,766,798,788,787,15,14,15,15
1572784173,760,789,789,789,15,14,14,14
1572784174,762,790,786,789,13,13,13,14
1572784176,758,796,786,790,13,13,14,14
1572784177,760,793,793,789,13,14,14,14
1572784178,758,793,788,788,13,12,12,13
1572784179,768,793,790,790,13,13,14,14
1572784180,753,790,788,786,15,14,13,13
1572784181,761,797,789,788,13,12,12,12
1572784182,753,789,790,786,16,15,14,14
