TIMESTAMP,MOISTURE
1571637201,304
1571637203,305
1571637204,310
1571637205,310
1571637206,309
1571637207,305
1571637209,307
1571637210,307
1571637211,303
1571637212,309
1571637213,305
1571637215,307
1571637216,304
1571637217,314
1571637218,308
1571637219,307
1571637221,309
1571637222,305
1571637223,308
1571637224,312
1571637225,305
1571637226,305
1571637228,302
1571637229,314
1571637230,307
1571637231,309
1571637232,308
1571637234,304
1571637235,307
1571637236,305
1571637237,312
1571637238,305
1571637240,313
1571637241,309
1571637242,304
1571637243,304
1571637244,307
1571637245,305
1571637247,310
1571637248,304
1571637249,315
1571637250,308
1571637251,312
1571637253,304
1571637254,314
1571637255,303
1571637256,308
1571637257,314
1571637259,305
1571637260,309
1571637261,302
1571637262,309
1571637263,304
1571637265,304
1571637266,306
1571637267,302
1571637268,314
1571637269,313
1571637271,313
1571637272,313
1571637273,304
1571637274,305
1571637275,307
1571637276,313
1571637278,302
1571637279,305
1571637280,309
1571637281,304
1571637282,307
1571637284,305
1571637285,312
1571637286,310
1571637287,305
1571637288,303
1571637290,312
1571637291,304
1571637292,302
1571637293,315
1571637294,306
1571637296,307
1571637297,305
1571637298,307
1571637299,314
1571637300,307
1571637302,309
1571637303,313
1571637304,310
1571637305,313
1571637306,307
1571637307,305
1571637309,312
1571637310,309
1571637311,309
1571637312,313
1571637313,314
1571637315,314
1571637316,305
1571637317,313
1571637318,309
1571637319,307
1571637321,309
1571637322,304
1571637323,314
1571637324,312
1571637325,306
1571637327,310
1571637328,312
1571637329,312
1571637330,303
1571637331,315
1571637333,315
1571637334,314
1571637335,312
1571637336,303
1571637337,310
1571637338,313
1571637340,304
1571637341,313
1571637342,306
1571637343,304
1571637344,307
1571637346,307
1571637347,303
1571637348,303
1571637349,309
1571637350,303
1571637352,302
1571637353,310
1571637354,312
1571637355,309
1571637356,302
1571637358,310
1571637359,305
1571637360,312
1571637361,308
1571637362,303
1571637363,305
1571637365,307
1571637366,305
1571637367,304
1571637368,315
1571637369,309
1571637371,304
1571637372,304
1571637373,302
1571637374,304
1571637375,309
1571637377,310
1571637378,315
1571637379,304
1571637380,310
1571637381,310
1571637383,304
1571637384,313
1571637385,310
1571637386,309
1571637387,303
1571637389,315
1571637390,306
1571637391,307
1571637392,307
1571637393,315
1571637394,302
1571637396,306
1571637397,304
1571637398,306
1571637399,306
1571637400,304
1571637402,312
1571637403,302
1571637404,309
1571637405,302
1571637406,303
1571637408,309
1571637409,312
1571637410,312
1571637411,304
1571637412,306
1571637414,306
1571637415,309
1571637416,310
1571637417,304
1571637418,314
1571637420,307
1571637421,313
1571637422,307
1571637423,305
1571637424,307
1571637426,313
1571637427,303
1571637428,304
1571637429,305
1571637430,308
1571637431,303
1571637433,309
1571637434,309
1571637435,303
1571637436,314
1571637437,302
1571637439,315
1571637440,313
1571637441,304
1571637442,309
1571637443,306
1571637445,314
1571637446,304
1571637447,302
1571637448,312
1571637449,314
1571637451,305
1571637452,314
1571637453,302
1571637454,305
1571637455,303
1571637457,314
1571637458,314
1571637459,306
1571637460,304
1571637461,314
1571637462,312
1571637464,315
1571637465,306
1571637466,313
1571637467,303
1571637468,310
1571637470,304
1571637471,303
1571637472,307
1571637473,305
1571637474,309
1571637476,314
1571637477,312
1571637478,305
1571637479,302
1571637480,302
1571637482,302
1571637483,305
1571637484,303
1571637485,303
1571637486,304
1571637487,302
1571637489,305
1571637490,315
1571637491,313
1571637492,309
1571637493,303
1571637495,303
1571637496,314
1571637497,309
1571637498,314
1571637499,302
1571637501,307
1571637502,306
1571637503,304
1571637504,308
1571637505,309
1571637507,306
1571637508,303
1571637509,305
1571637510,304
1571637511,314
1571637513,314
1571637514,305
1571637515,310
1571637516,308
1571637517,312
1571637519,314
1571637520,306
1571637521,314
1571637522,305
1571637523,305
1571637524,303
1571637526,305
1571637527,303
1571637528,307
1571637529,313
1571637530,304
1571637532,313
1571637533,314
1571637534,303
1571637535,313
1571637536,306
1571637538,307
1571637539,302
1571637540,309
1571637541,303
1571637542,313
1571637544,308
1571637545,302
1571637546,309
1571637547,302
1571637548,306
1571637550,302
1571637551,307
1571637552,308
1571637553,304
1571637554,312
1571637555,308
1571637557,302
1571637558,306
1571637559,310
1571637560,310
1571637561,305
1571637563,308
1571637564,308
1571637565,309
1571637566,302
1571637567,315
1571637569,309
1571637570,313
1571637571,307
1571637572,314
1571637573,304
1571637575,304
1571637576,304
1571637577,304
1571637578,312
1571637579,302
1571637581,307
1571637582,312
1571637583,304
1571637584,308
1571637585,303
1571637586,314
1571637588,302
1571637589,302
1571637590,304
1571637591,308
1571637592,312
1571637594,304
1571637595,305
1571637596,304
1571637597,314
1571637598,305
1571637600,309
1571637601,308
1571637602,307
1571637603,306
1571637604,303
1571637606,303
1571637607,305
1571637608,314
1571637609,304
1571637610,303
1571637612,306
1571637613,307
1571637614,312
1571637615,307
1571637616,307
1571637618,314
1571637619,305
1571637620,314
1571637621,303
1571637622,314
1571637623,314
1571637625,308
1571637626,314
1571637627,309
1571637628,314
1571637629,302
1571637631,305
1571637632,313
1571637633,306
1571637634,313
1571637635,315
